|region                                                                                              |count               |
|----------------------------------------------------------------------------------------------------|--------------------|
|Russia                                                                                              |1028                |
|Germany                                                                                             |924                 |
|USA                                                                                                 |752                 |
|Spain                                                                                               |546                 |
|UK                                                                                                  |516                 |
|France                                                                                              |492                 |
|China                                                                                               |460                 |
|Canada                                                                                              |446                 |
|Italy                                                                                               |438                 |
|Australia                                                                                           |399                 |
|Japan                                                                                               |392                 |
|Hungary                                                                                             |352                 |
|Czech Republic                                                                                      |333                 |
|South Korea                                                                                         |322                 |
|Romania                                                                                             |308                 |
|Netherlands                                                                                         |265                 |
|Poland                                                                                              |264                 |
|Sweden                                                                                              |253                 |
|Bulgaria                                                                                            |238                 |
|Brazil                                                                                              |233                 |
|Cuba                                                                                                |197                 |
|New Zealand                                                                                         |175                 |
|Switzerland                                                                                         |171                 |
|Denmark                                                                                             |144                 |
|Mexico                                                                                              |142                 |
|South Africa                                                                                        |141                 |
|Finland                                                                                             |131                 |
|Austria                                                                                             |129                 |
|North Korea                                                                                         |123                 |
|Norway                                                                                              |116                 |
|Portugal                                                                                            |115                 |
|Argentina                                                                                           |111                 |
|Belgium                                                                                             |105                 |
|Puerto Rico                                                                                         |101                 |
|Serbia                                                                                              |88                  |
|Egypt                                                                                               |84                  |
|Ireland                                                                                             |78                  |
|Greece                                                                                              |77                  |
|Individual Olympic Athletes                                                                         |77                  |
|Nigeria                                                                                             |72                  |
|Thailand                                                                                            |64                  |
|India                                                                                               |61                  |
|Colombia                                                                                            |61                  |
|Ukraine                                                                                             |60                  |
|Turkey                                                                                              |57                  |
|Kenya                                                                                               |55                  |
|Lithuania                                                                                           |54                  |
|Jamaica                                                                                             |52                  |
|Indonesia                                                                                           |51                  |
|Slovenia                                                                                            |50                  |
|Croatia                                                                                             |49                  |
|Estonia                                                                                             |47                  |
|Guam                                                                                                |45                  |
|Morocco                                                                                             |45                  |
|Israel                                                                                              |44                  |
|Belarus                                                                                             |44                  |
|Iran                                                                                                |44                  |
|Guatemala                                                                                           |42                  |
|Ghana                                                                                               |41                  |
|Latvia                                                                                              |40                  |
|Mongolia                                                                                            |38                  |
|Philippines                                                                                         |38                  |
|Taiwan                                                                                              |38                  |
|Singapore                                                                                           |37                  |
|Kuwait                                                                                              |37                  |
|Fiji                                                                                                |36                  |
|Algeria                                                                                             |36                  |
|United Arab Emirates                                                                                |36                  |
