|eventname                                                                                           |lastn                                                                                               |firstn                                                                                              |country                                                                                             |gender                                                                                              |medal                                                                                               |
|----------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------|
|100M Backstroke                                                                                     |morita                                                                                              |tomomi                                                                                              |JPN                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|100M Backstroke                                                                                     |peirsol                                                                                             |aaron                                                                                               |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|100M Backstroke                                                                                     |rogan                                                                                               |markus                                                                                              |AUT                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|100M Backstroke                                                                                     |manaudou                                                                                            |laure                                                                                               |FRA                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|100M Backstroke                                                                                     |coughlin                                                                                            |natalie                                                                                             |USA                                                                                                 |Women                                                                                               |Gold                                                                                                |
|100M Backstroke                                                                                     |coventry                                                                                            |kirsty                                                                                              |ZIM                                                                                                 |Women                                                                                               |Silver                                                                                              |
|100M Breaststroke                                                                                   |duboscq                                                                                             |hugues                                                                                              |FRA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|100M Breaststroke                                                                                   |kitajima                                                                                            |kosuke                                                                                              |JPN                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|100M Breaststroke                                                                                   |hansen                                                                                              |brendan                                                                                             |USA                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|100M Breaststroke                                                                                   |jones                                                                                               |leisel                                                                                              |AUS                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|100M Breaststroke                                                                                   |luo                                                                                                 |xuejuan                                                                                             |CHN                                                                                                 |Women                                                                                               |Gold                                                                                                |
|100M Breaststroke                                                                                   |hanson                                                                                              |brooke                                                                                              |AUS                                                                                                 |Women                                                                                               |Silver                                                                                              |
|100M Butterfly                                                                                      |serdinov                                                                                            |andriy                                                                                              |UKR                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|100M Butterfly                                                                                      |phelps                                                                                              |michael                                                                                             |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|100M Butterfly                                                                                      |crocker                                                                                             |ian                                                                                                 |USA                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|100M Butterfly                                                                                      |de bruijn                                                                                           |inge                                                                                                |NED                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|100M Butterfly                                                                                      |thomas                                                                                              |petria                                                                                              |AUS                                                                                                 |Women                                                                                               |Gold                                                                                                |
|100M Butterfly                                                                                      |jedrzejczak                                                                                         |otylia                                                                                              |POL                                                                                                 |Women                                                                                               |Silver                                                                                              |
|100M Freestyle                                                                                      |thorpe                                                                                              |ian                                                                                                 |AUS                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|100M Freestyle                                                                                      |van den hoogenband                                                                                  |pieter                                                                                              |NED                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|100M Freestyle                                                                                      |schoeman                                                                                            |roland                                                                                              |RSA                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|100M Freestyle                                                                                      |coughlin                                                                                            |natalie                                                                                             |USA                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|100M Freestyle                                                                                      |henry                                                                                               |jodie                                                                                               |AUS                                                                                                 |Women                                                                                               |Gold                                                                                                |
|100M Freestyle                                                                                      |de bruijn                                                                                           |inge                                                                                                |NED                                                                                                 |Women                                                                                               |Silver                                                                                              |
|1500M Freestyle                                                                                     |davies                                                                                              |david                                                                                               |GBR                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|1500M Freestyle                                                                                     |hackett                                                                                             |grant                                                                                               |AUS                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|1500M Freestyle                                                                                     |jensen                                                                                              |larsen                                                                                              |USA                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|200M Backstroke                                                                                     |florea                                                                                              |razvan ionut                                                                                        |ROU                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|200M Backstroke                                                                                     |peirsol                                                                                             |aaron                                                                                               |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|200M Backstroke                                                                                     |rogan                                                                                               |markus                                                                                              |AUT                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|200M Backstroke                                                                                     |buschschulte                                                                                        |antje                                                                                               |GER                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|200M Backstroke                                                                                     |nakamura                                                                                            |reiko                                                                                               |JPN                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|200M Backstroke                                                                                     |coventry                                                                                            |kirsty                                                                                              |ZIM                                                                                                 |Women                                                                                               |Gold                                                                                                |
|200M Backstroke                                                                                     |komarova                                                                                            |stanislava                                                                                          |RUS                                                                                                 |Women                                                                                               |Silver                                                                                              |
|200M Breaststroke                                                                                   |hansen                                                                                              |brendan                                                                                             |USA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|200M Breaststroke                                                                                   |kitajima                                                                                            |kosuke                                                                                              |JPN                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|200M Breaststroke                                                                                   |gyurta                                                                                              |daniel                                                                                              |HUN                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|200M Breaststroke                                                                                   |poleska                                                                                             |anne                                                                                                |GER                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|200M Breaststroke                                                                                   |beard                                                                                               |amanda                                                                                              |USA                                                                                                 |Women                                                                                               |Gold                                                                                                |
|200M Breaststroke                                                                                   |jones                                                                                               |leisel                                                                                              |AUS                                                                                                 |Women                                                                                               |Silver                                                                                              |
|200M Butterfly                                                                                      |parry                                                                                               |stephen                                                                                             |GBR                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|200M Butterfly                                                                                      |phelps                                                                                              |michael                                                                                             |USA                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|200M Butterfly                                                                                      |yamamoto                                                                                            |takashi                                                                                             |JPN                                                                                                 |Men                                                                                                 |Silver                                                                                              |
|200M Butterfly                                                                                      |nakanishi                                                                                           |yuko                                                                                                |JPN                                                                                                 |Women                                                                                               |Bronze                                                                                              |
|200M Butterfly                                                                                      |jedrzejczak                                                                                         |otylia                                                                                              |POL                                                                                                 |Women                                                                                               |Gold                                                                                                |
|200M Butterfly                                                                                      |thomas                                                                                              |petria                                                                                              |AUS                                                                                                 |Women                                                                                               |Silver                                                                                              |
|200M Freestyle                                                                                      |phelps                                                                                              |michael                                                                                             |USA                                                                                                 |Men                                                                                                 |Bronze                                                                                              |
|200M Freestyle                                                                                      |thorpe                                                                                              |ian                                                                                                 |AUS                                                                                                 |Men                                                                                                 |Gold                                                                                                |
|200M Freestyle                                                                                      |van den hoogenband                                                                                  |pieter                                                                                              |NED                                                                                                 |Men                                                                                                 |Silver                                                                                              |
